,name,id,user_id,user_name,game_id,type,title,viewer_count,started_at,language,thumbnail_url,tag_ids
0,Squeezielive,,,,,,,,,,,
1,Gotaga, 296857809, 24147592, Gotaga, 509658, live, FR GOTAGA ► On parle ! , 8859, 2019-12-12T18 08 43Z, fr, https //static-cdn.jtvnw.net/previews-ttv/live_user_gotaga-widthxheight.jpg, 6f655045-9989-4ef7-8f85-1edcec42d648
2,Domingo, 297154657, 40063341, Domingo, 509658, live, Coucou, 3438, 2019-12-12T18 55 52Z, fr, https //static-cdn.jtvnw.net/previews-ttv/live_user_domingo-widthxheight.jpg, 6f655045-9989-4ef7-8f85-1edcec42d648
3,TheKAIRI78,,,,,,,,,,,
4,WankilStudio,,,,,,,,,,,
5,Joueur_du_Grenier,,,,,,,,,,,
6,Sardoche,,,,,,,,,,,
7,JLTomy, 297614977, 155601320, JLTomy, 32982, live, JL TOMA - Cadet Soulax au rapport ! (Twitter @PrismTomy) !video !cercle !vacances, 3541, 2019-12-12T20 04 59Z, fr, https //static-cdn.jtvnw.net/previews-ttv/live_user_jltomy-widthxheight.jpg, 6f655045-9989-4ef7-8f85-1edcec42d648
8,ZeratoR,,,,,,,,,,,
9,EsportZoneLiveTV,,,,,,,,,,,
10,mistermv,,,,,,,,,,,
11,Locklear,,,,,,,,,,,
12,Xari, 297966513, 88301612, Xari, 506342, live, Le retour du HITMAN !bestof, 1700, 2019-12-12T21 09 03Z, fr, https //static-cdn.jtvnw.net/previews-ttv/live_user_xari-widthxheight.jpg, 6f655045-9989-4ef7-8f85-1edcec42d648
13,FortniteFR,,,,,,,,,,,
14,lestream,,,,,,,,,,,
15,Cyprienlive,,,,,,,,,,,
16,StreamBox,,,,,,,,,,,
17,Laink,,,,,,,,,,,
18,BruceGrannec,,,,,,,,,,,
19,FuzeIII,,,,,,,,,,,
20,Terracid,,,,,,,,,,,
21,CYRILmp4,,,,,,,,,,,
22,Solary, 295001041, 174955366, Solary, 21779, live, RUSH MASSIF PRESAISON 2000€ | UNRANKED TO MASTER (1 SEMAINE) !rush, 5847, 2019-12-12T10 11 34Z, fr, https //static-cdn.jtvnw.net/previews-ttv/live_user_solary-widthxheight.jpg, 6f655045-9989-4ef7-8f85-1edcec42d648
23,SolaryFortnite,,,,,,,,,,,
24,Jirayalecochon,,,,,,,,,,,
25,iProMx,,,,,,,,,,,
26,LeFrenchRestream,,,,,,,,,,,
27,Anas_Off,,,,,,,,,,,
28,brusselschallenge,,,,,,,,,,,
29,PlayHearthstoneFR,,,,,,,,,,,
30,RocKy_,,,,,,,,,,,
31,YoMax,,,,,,,,,,,
32,FantaBobShow, 298061777, 29188740, FantaBobShow, 16169, live, LA PROPRETÉEEEEE HAAANW !!!, 1930, 2019-12-12T21 30 23Z, fr, https //static-cdn.jtvnw.net/previews-ttv/live_user_fantabobshow-widthxheight.jpg, 6f655045-9989-4ef7-8f85-1edcec42d648
33,RebeuDeter,,,,,,,,,,,
34,robert87000,,,,,,,,,,,
35,Kamet0, 297580257, 27115917, Kamet0, 30028, live, RAGNAR KEBIR - WE LIVE TO FIGHT ANOTHER DAY ! #VINDLAND #ALDERIATE #CHAUVE #BLOOD #SWORD #KAMUI (!prime), 2957, 2019-12-12T20 00 15Z, fr, https //static-cdn.jtvnw.net/previews-ttv/live_user_kamet0-widthxheight.jpg, 6f655045-9989-4ef7-8f85-1edcec42d648
36,dreamhackcsgo_fr,,,,,,,,,,,
37,AlphaCast,,,,,,,,,,,
38,Doigby, 297329889, 25454398, Doigby, 27471, live, DOIGBY 🐺 - LOUP GAROU avec les potes ( Squeezie Gotaga Mickalow Locklear Maghla), 2162, 2019-12-12T19 21 02Z, fr, https //static-cdn.jtvnw.net/previews-ttv/live_user_doigby-widthxheight.jpg, 6f655045-9989-4ef7-8f85-1edcec42d648
39,JulienChieze,,,,,,,,,,,
40,LyoneSportTV,,,,,,,,,,,
41,michou_twitch,,,,,,,,,,,
42,Pauleta_Youtubeur,,,,,,,,,,,
43,Alderiate,,,,,,,,,,,
44,Mushway, 298169057, 81432617, Mushway, 33214, live, MUSHWAY - DERNIER LIVE AVANT MON NOUVEL APPART ( PAS DE LIVE JUSQU’À LUNDI ) (!clavier !bestof), 2531, 2019-12-12T21 57 20Z, fr, https //static-cdn.jtvnw.net/previews-ttv/live_user_mushway-widthxheight.jpg, 6f655045-9989-4ef7-8f85-1edcec42d648 1eba3cfe-51cc-460a-8259-bc8bb987f904 fd8f5e68-42d3-4544-a273-5fc92dabc568
45,AntoineDanielLive, 297733249, 135468063, AntoineDanielLive, 26936, live, On tente de commencer une nouvelle zic de zéro dans ce stream très calme (pas de cam LogicielAbleton nouvelleemoteKINGCROC), 1002, 2019-12-12T20 25 13Z, fr, https //static-cdn.jtvnw.net/previews-ttv/live_user_antoinedaniellive-widthxheight.jpg, 6f655045-9989-4ef7-8f85-1edcec42d648
46,SolaryHS, 294701217, 416031592, SolaryHS, 138585, live, FR Odé contre les Chamans, 2764, 2019-12-12T06 06 51Z, fr, https //static-cdn.jtvnw.net/previews-ttv/live_user_solaryhs-widthxheight.jpg, 6f655045-9989-4ef7-8f85-1edcec42d648
47,Shaunz,,,,,,,,,,,
48,shoxieJESUSS, 298030817, 35332416, shoxieJESUSS, 32399, live, CS BOYS ! @shoxCSGO #VforVictory, 1437, 2019-12-12T21 23 05Z, fr, https //static-cdn.jtvnw.net/previews-ttv/live_user_shoxiejesuss-widthxheight.jpg, 6f655045-9989-4ef7-8f85-1edcec42d648
49,Liberto,,,,,,,,,,,
50,XEWER, 296794625, 88524154, XEWER, 33214, live, XEWER PP DUO AVEC DRIIK !RIVALS  |  !24h | #AD OUBLIEZ PAS LE CODE XEWER, 1743, 2019-12-12T17 59 28Z, fr, https //static-cdn.jtvnw.net/previews-ttv/live_user_xewer-widthxheight.jpg, 6f655045-9989-4ef7-8f85-1edcec42d648
51,WarcraftFR,,,,,,,,,,,
52,lequipefr,,,,,,,,,,,
53,LeBouseuh,,,,,,,,,,,
54,JeelTV,,,,,,,,,,,
55,1PVCS, 296541937, 168116110, 1PVCS, 32399, live, FR 🔴cs_summit 5 - Virtus.pro vs Furia / Cast   @pmleek @hAdjiCSGOet@Wasink6, 2771, 2019-12-12T17 15 39Z, fr, https //static-cdn.jtvnw.net/previews-ttv/live_user_1pvcs-widthxheight.jpg, 6f655045-9989-4ef7-8f85-1edcec42d648
56,PrimeTimeFut,,,,,,,,,,,
57,MasterSnakou,,,,,,,,,,,
58,Corobizar,,,,,,,,,,,
59,lyonesportFT,,,,,,,,,,,
60,Crocodyle_lol,,,,,,,,,,,
61,Mickalow, 295901745, 30709418, Mickalow, 509658, live, MICKALOW / Grosse soirée (ft. Doigby Locklear Maghla Gotaga&Squeezie), 943, 2019-12-12T15 10 23Z, fr, https //static-cdn.jtvnw.net/previews-ttv/live_user_mickalow-widthxheight.jpg, 6f655045-9989-4ef7-8f85-1edcec42d648
62,At0mium, 297585249, 24306397, At0mium, 505766, live, VIDEO GAME AWARDS   Qui sera le GOTY ? (début à 2h30), 1472, 2019-12-12T20 00 55Z, fr, https //static-cdn.jtvnw.net/previews-ttv/live_user_at0mium-widthxheight.jpg, 6f655045-9989-4ef7-8f85-1edcec42d648
63,Rainbow6FR,,,,,,,,,,,
64,Maghla,,,,,,,,,,,
65,TwitchFR,,,,,,,,,,,
66,Oliechhs,,,,,,,,,,,
67,Bennnzz,,,,,,,,,,,
68,Mastu,,,,,,,,,,,
69,OgamingSC2, 297443489, 71852806, OgamingSC2, 490422, live, WESG - Qualifier Day 2, 293, 2019-12-12T19 38 50Z, fr, https //static-cdn.jtvnw.net/previews-ttv/live_user_ogamingsc2-widthxheight.jpg, 6f655045-9989-4ef7-8f85-1edcec42d648
70,nayte,,,,,,,,,,,
